1001|2450|3675|1980|3025
1002|3950|1675|2310|2225
1003|2235|4785|3010|4250
1004|3100|2515|4270|1875
1005|3700|3450|2305|3280
1006|1950|1205|2050|1375
1007|3030|1635|1520|2265
1008|2425|1995|2740|3905
1009|2650|3545|2710|1290
1010|1495|1235|2770|3810
1011|1945|3230|2050|4255
1012|2480|3180|3455|2270
1013|2875|1755|3155|2665
1014|2920|4025|1585|3405
1015|2525|2375|2895|3975
1016|2830|2235|4065|2320
1017|2775|3800|1720|1540
1018|3150|4055|3835|1465
1019|2070|2435|1405|1685
1020|3145|3535|1415|3910
1021|2935|2690|1675|3345
1022|2000|2955|3485|1440
1023|2520|3125|4255|1570
1024|1640|1825|3065|2710
1025|3930|1335|3450|2025
1026|2015|1680|1730|1925
1027|4130|3225|2160|3560
1028|2710|2745|3355|2395
1029|2305|2950|2465|3895
1030|3190|1935|2565|3610
1031|3305|2965|1525|2005
1032|3865|3010|3980|4145
